hip_angle_l,hip_flexion_l_moment
-32.48502203,-0.505463141
-32.4607603,-0.489600308
-32.33103116,-0.473149707
-32.11275778,-0.456712928
-31.894474,-0.441341014
-31.67620062,-0.427429109
-31.39546507,-0.416694696
-31.11065659,-0.408070322
-30.82586168,-0.401606965
-30.5288477,-0.397894885
-30.20727143,-0.397431793
-29.88567983,-0.398958894
-29.56410356,-0.40223253
-29.09205495,-0.406440172
-28.56426773,-0.411505379
-28.03645535,-0.41717666
-27.48029228,-0.422940584
-26.72867464,-0.42802854
-25.97709284,-0.432311702
-25.2254752,-0.435341573
-24.51881867,-0.437373812
-23.85346479,-0.437995816
-23.18814264,-0.436297442
-22.52278877,-0.432051381
-22.28620934,-0.425021334
-22.28620934,-0.415169668
-22.28620934,-0.402543692
-22.27115559,-0.387249131
-21.39666239,-0.371215785
-20.52212749,-0.352823929
-19.64763429,-0.332325123
-18.92860634,-0.309700396
-18.42594053,-0.285151506
-17.92329869,-0.259457488
-17.42063287,-0.232974532
-16.75017465,-0.206330007
-16.02831071,-0.179689748
-15.3064812,-0.153311046
-14.57373614,-0.127429115
-13.78491073,-0.101983248
-12.99604771,-0.077692451
-12.2072223,-0.054801641
-11.46289999,-0.033887477
-10.75354904,-0.015058136
-10.04416427,0.001812863
-9.334813327,0.016598757
-8.729228337,0.029736254
-8.128515671,0.040646712
-7.527774359,0.049264799
-6.969910179,0.055291739
-6.490423548,0.058507019
-6.01095978,0.059485559
-5.53147315,0.058307205
-5.070776325,0.055255314
-4.6162409,0.050361601
-4.161727149,0.043750753
-3.72042216,0.035511689
-3.356740928,0.025278935
-2.993077038,0.014078445
-2.629395806,0.002225053
-2.249187956,-0.009015888
-1.85484572,-0.019412384
-1.460522288,-0.029364714
-1.066180053,-0.038474746
-0.745835597,-0.047074652
-0.430465523,-0.054080194
-0.115110487,-0.05905573
0.17760266,-0.061301208
0.42488629,-0.060147113
0.672181711,-0.055979662
0.919465341,-0.04856104
1.064528138,-0.038450796
1.167624509,-0.02510364
1.270725796,-0.008180368
1.376375192,0.012368495
1.503791673,0.037105536
1.631202079,0.065047131
1.75861856,0.095905081
1.885986612,0.129467689
